modality,vocal_channel,emotion,emotional_intensity,statement,repetition,actor,sex,channels,sample_width,frame_rate,frame_width,length_ms,frame_count,intensity,zero_crossings_sum,mfcc_mean,mfcc_std,mfcc_min,mfcc_max,sc_mean,sc_std,sc_min,sc_max,sc_kur,sc_skew,stft_mean,stft_std,stft_min,stft_max,stft_kur,stft_skew,mean,std,min,max,kur,skew
audio-only,speech,fearful,normal,Dogs are sitting by the door,2nd,02,F,1,2,48000,2,3737,179379.0,-36.793431865712655,16995,-33.485947,134.65486,-755.22345,171.69092,5792.550744274666,3328.0554572831006,0.0,13541.959028242416,-1.1207685246246946,0.2509401616754532,0.41525045,0.33553314,0.0,1.0,-1.2150249712860668,0.403514030483303,3.8449164e-07,0.014481636,-0.12863159,0.13894653,9.406061240543709,0.2731533743406074
audio-only,speech,angry,normal,Dogs are sitting by the door,1st,16,F,1,2,48000,2,3904,187387.0,,13906,-29.502108,130.48563,-713.9856,205.0077,5197.620555017599,4040.931569613733,0.0,12000.290442552228,-1.531204256017284,0.2195817978098662,0.4174879,0.35238042,0.0,1.0,-1.384174293987925,0.2909053051370035,-7.149491e-08,0.020417225,-0.3057251,0.26306152,19.56418749382661,0.2921572353640685
audio-only,,happy,strong,Dogs are sitting by the door,2nd,16,F,1,2,48000,2,4671,224224.0,-32.29073734444098,18723,-30.532463,126.57711,-726.06036,165.45653,4830.743036852651,3332.1312995313765,0.0,12007.751172967177,-1.130152744924187,0.436699155392461,0.37975752,0.35226968,0.0,1.0,-1.2429465224059983,0.4703500130240766,2.4299845e-06,0.024317175,-0.13748169,0.16635132,4.881240559386403,0.3026589989545012
audio-only,,surprised,normal,Kids are talking by the door,1st,14,F,1,2,48000,2,3637,174575.0,-49.01983891465598,11617,-36.059555,159.72516,-842.94635,190.03609,5376.446478268535,4053.6630731097007,0.0,12048.223892925507,-1.4977648572113873,0.0988022840910602,0.40727672,0.36055207,0.0,1.0,-1.4453181127037218,0.2747559333067913,2.3739292e-07,0.0035609864,-0.027374268,0.02407837,13.040259383504964,-0.0810143266840635
audio-only,song,happy,strong,Dogs are sitting by the door,2nd,02,F,1,2,48000,2,4404,211411.0,-31.214502879613097,15137,-31.405996,122.125824,-700.70276,161.134,5146.012474455235,3442.7241088816854,0.0,12025.582707366792,-1.1675439751413927,0.4960657181182721,0.4159741,0.35065478,0.0,1.0,-1.3667420680582354,0.3189255878396368,8.4546906e-07,0.027522065,-0.19216919,0.24267578,7.485109355361592,0.4148721043723152
audio-only,speech,fearful,normal,Dogs are sitting by the door,2nd,,F,1,2,48000,2,3570,171371.0,-36.31224418184944,12143,-30.500889,132.58173,-719.16547,213.68192,4251.116911942932,3833.1781833707423,0.0,12063.20074069549,-1.1145268361357537,0.5551977533598422,0.34966907,0.34525588,0.0,1.0,-1.0981794319078344,0.576157437390533,2.519818e-07,0.015295548,-0.12246704,0.106170654,12.775898105848588,0.0281857673162942
audio-only,speech,angry,normal,Dogs are sitting by the door,1st,02,F,1,2,48000,2,3770,180980.0,,14239,-30.177172,139.50746,-767.1936,228.32715,5718.247598119217,4008.8039781710777,0.0,12840.225341478908,-1.503746208882781,0.0922113205424383,0.47631174,0.34683928,0.0,1.0,-1.4258984302453852,0.0271917247957143,-1.571576e-07,0.013859757,-0.13296509,0.14898682,14.273622696675917,0.011188322909745
audio-only,speech,neutral,normal,Dogs are sitting by the door,2nd,,F,1,2,48000,2,3437,164965.0,-49.095041892122126,11147,-36.048576,167.65213,-910.49744,220.38373,6085.206268357976,3737.829447122608,0.0,12000.006161580364,-1.6015143893609538,-0.1127366088910634,0.4873062,0.32824752,0.0,1.0,-1.307958278148405,0.0568398056050616,-3.640687e-07,0.0035258725,-0.02722168,0.040893555,11.289926335091987,0.2113525112871773
audio-only,speech,calm,normal,Dogs are sitting by the door,1st,12,F,1,2,48000,2,3770,180981.0,-45.90683693839325,15293,-33.899364,159.19762,-879.26,207.63217,6349.352393876921,4014.630497936632,0.0,12081.507260260509,-1.609621759545796,-0.0726713740780695,0.5350295,0.32825288,0.0,1.0,-1.2629600264070822,-0.2160204280235494,-8.802126e-07,0.005090685,-0.029510498,0.025878906,5.259552005331312,-0.9644333400487632
audio-only,song,sad,strong,Dogs are sitting by the door,2nd,12,F,1,2,48000,2,4371,209810.0,,13024,-29.462296,116.833786,-645.9262,167.96753,5486.705834640869,3602.202956669995,991.3644024981206,11999.9999977299,-1.2884436090429503,0.5426999649598326,0.5060431,0.36764336,0.00018547727,1.0,-1.5447158205960356,-0.1419898179833361,2.4857114e-05,0.039338455,-0.28601074,0.33169556,11.379088661948936,0.4750984095984663
audio-only,song,sad,strong,Dogs are sitting by the door,2nd,,F,1,2,48000,2,4438,213013.0,,19359,-35.042236,131.51068,-737.8798,161.57228,4901.650921432177,2845.3148998630827,1347.2312102463868,12013.04525785134,-0.8408301683469923,0.5739096981147916,0.36504024,0.33302042,0.00025943015,1.0,-0.9336437274594108,0.6636392115063635,2.4421167e-06,0.016677132,-0.17385864,0.14624023,12.331682865231096,-0.3214091729843859
audio-only,speech,neutral,normal,Dogs are sitting by the door,2nd,,F,1,2,48000,2,3637,174575.0,,12597,-32.76429,160.37741,-882.76434,199.10287,6621.952371016358,3833.220188697705,1137.2086921399784,12024.657129462808,-1.6299608659392006,-0.1722632235397695,0.55669147,0.32737958,0.0019126519,1.0,-1.2893771302321386,-0.2905305480035377,-1.2479736e-06,0.0047653625,-0.031982422,0.03668213,6.579114026360848,-0.2812067196140384
audio-only,speech,calm,normal,Dogs are sitting by the door,1st,06,F,1,2,48000,2,3971,190590.0,,12339,-34.11762,165.02167,-973.2751,189.05966,5016.271911026011,3239.9381566178054,0.0,12204.269010046062,-0.7343073456261426,0.6586347190005523,0.44401434,0.3315694,0.0,1.0,-1.2746397467002548,0.261846251940035,1.1054797e-06,0.0020237167,-0.013641357,0.012817383,6.717218573192392,-0.6075590536651183
audio-only,,calm,strong,Kids are talking by the door,1st,06,F,1,2,48000,2,4504,216216.0,-54.745973691521485,13640,-34.821735,164.23001,-926.8722,153.92604,5481.013422324736,2941.1018234832773,0.0,12029.892124801278,-0.4781872831486291,0.790944306976741,0.49502066,0.3168888,0.0,1.0,-1.2593940964362675,0.0833181622334394,2.399588e-06,0.0018589128,-0.027374268,0.023895264,22.183236452358248,-0.901412539638745
